TRAINER_NONE: {'id': 'TRAINER_NONE', 'start_line': 16, 'data': ['.trainerName = {_END},', '.trainerName = {_END},'], 'party_name': None, 'party_type': None, 'end_line': 22}
TRAINER_AQUA_LEADER: {'id': 'TRAINER_AQUA_LEADER', 'start_line': 23, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_AQUA_LEADER,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_AQUA,', '.gender = 0,', '.trainerPic = TRAINER_PIC_ARCHIE,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.partySize = 0,', '.party = {.NoItemDefaultMoves = sParty_AquaLeader},'], 'party_name': 'sParty_AquaLeader', 'party_type': 1, 'end_line': 39}
TRAINER_AQUA_GRUNT_M: {'id': 'TRAINER_AQUA_GRUNT_M', 'start_line': 40, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_TEAM_AQUA,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_AQUA,', '.gender = 0,', '.trainerPic = TRAINER_PIC_AQUA_GRUNT_M,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_AquaGruntM},'], 'party_name': 'sParty_AquaGruntM', 'party_type': 1, 'end_line': 56}
TRAINER_AQUA_GRUNT_F: {'id': 'TRAINER_AQUA_GRUNT_F', 'start_line': 57, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_TEAM_AQUA,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_AQUA,', '.gender = 0,', '.trainerPic = TRAINER_PIC_AQUA_GRUNT_F,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_AquaGruntF},'], 'party_name': 'sParty_AquaGruntF', 'party_type': 1, 'end_line': 73}
TRAINER_RS_AROMA_LADY: {'id': 'TRAINER_RS_AROMA_LADY', 'start_line': 74, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_AROMA_LADY_RS,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_FEMALE,', '.gender = 0,', '.trainerPic = TRAINER_PIC_AROMA_LADY_RS,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_RSAromaLady},'], 'party_name': 'sParty_RSAromaLady', 'party_type': 1, 'end_line': 90}
TRAINER_RS_RUIN_MANIAC: {'id': 'TRAINER_RS_RUIN_MANIAC', 'start_line': 91, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_RUIN_MANIAC_RS,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_HIKER,', '.gender = 0,', '.trainerPic = TRAINER_PIC_RUIN_MANIAC_RS,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_RSRuinManiac},'], 'party_name': 'sParty_RSRuinManiac', 'party_type': 1, 'end_line': 107}
TRAINER_INTERVIEWER: {'id': 'TRAINER_INTERVIEWER', 'start_line': 108, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_INTERVIEWER,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_INTERVIEWER,', '.gender = 0,', '.trainerPic = TRAINER_PIC_CAMERA_DUO,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = TRUE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_Interviewer},'], 'party_name': 'sParty_Interviewer', 'party_type': 1, 'end_line': 124}
TRAINER_RS_TUBER_F: {'id': 'TRAINER_RS_TUBER_F', 'start_line': 125, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_TUBER_RS_2,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_GIRL,', '.gender = 0,', '.trainerPic = TRAINER_PIC_RS_TUBER_F,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_RSTuberF},'], 'party_name': 'sParty_RSTuberF', 'party_type': 1, 'end_line': 141}
TRAINER_RS_TUBER_M: {'id': 'TRAINER_RS_TUBER_M', 'start_line': 142, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_TUBER_RS_1,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_MALE,', '.gender = 0,', '.trainerPic = TRAINER_PIC_RS_TUBER_M,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_RSTuberM},'], 'party_name': 'sParty_RSTuberM', 'party_type': 1, 'end_line': 158}
TRAINER_RS_COOLTRAINER_M: {'id': 'TRAINER_RS_COOLTRAINER_M', 'start_line': 159, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_COOLTRAINER_RS,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_COOL,', '.gender = 0,', '.trainerPic = TRAINER_PIC_RS_COOLTRAINER_M,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_RSCooltrainerM},'], 'party_name': 'sParty_RSCooltrainerM', 'party_type': 1, 'end_line': 175}
TRAINER_RS_COOLTRAINER_F: {'id': 'TRAINER_RS_COOLTRAINER_F', 'start_line': 176, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_COOLTRAINER_RS,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_COOL,', '.gender = 0,', '.trainerPic = TRAINER_PIC_RS_COOLTRAINER_F,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_RSCooltrainerF},'], 'party_name': 'sParty_RSCooltrainerF', 'party_type': 1, 'end_line': 192}
TRAINER_HEX_MANIAC: {'id': 'TRAINER_HEX_MANIAC', 'start_line': 193, 'data': ['.partyFlags = 0,', '.trainerClass = CLASS_HEX_MANIAC,', '.encounterMusic = TRAINER_ENCOUNTER_MUSIC_SUSPICIOUS,', '.gender = 0,', '.trainerPic = TRAINER_PIC_HEX_MANIAC,', '.trainerName = {_END},', '.trainerName = {_END},', '.items = {ITEM_NONE, ITEM_NONE, ITEM_NONE, ITEM_NONE},', '.doubleBattle = FALSE,', '.partySize = 0,', '.aiFlags = AI_SCRIPT_CHECK_BAD_MOVE | AI_SCRIPT_CHECK_GOOD_MOVE | AI_SCRIPT_SEMI_SMART | AI_SCRIPT_TRY_TO_FAINT | AI_SCRIPT_CHECK_VIABILITY | AI_SCRIPT_SETUP_FIRST_TURN | AI_SCRIPT_RISKY | AI_SCRIPT_HP_AWARE,', '.party = {.NoItemDefaultMoves = sParty_HexManiac},'], 'party_name': 'sParty_HexManiac', 'party_type': 1, 'end_line': 209}
